Date,MKT_RF,SMB,HML,MOM,RF,cfnai,cpi_yoy,real_ff,ff_nominal,cpi_dir,cpi_med,curve,vix,indpro_yoy,usrec
1971-02,0.0141,0.018600000000000002,-0.0124,0.0083,0.0033,0.3999999999999999,0.05277044854881274,-0.015570448548812739,0.037200000000000004,-0.00352981954770204,0.017176228100309165,,,-0.011040984555781286,0.0
1971-03,0.0412,0.026000000000000002,-0.0395,-0.0139,0.003,0.7433333333333332,0.04724409448818889,-0.010144094488188891,0.0371,-0.008755905511811157,0.017239187424073155,,,-0.012275545301792423,0.0
1971-04,0.0315,-0.0049,0.0086,0.0134,0.0028000000000000004,0.1733333333333333,0.044386422976501416,-0.002786422976501418,0.0416,-0.01131649479538166,0.017302146747837144,,,-0.012062077240542757,0.0
1971-05,-0.039900000000000005,-0.0104,-0.013300000000000001,0.009399999999999999,0.0029,0.13999999999999999,0.04155844155844157,0.004741558441558429,0.0463,-0.01121200699037117,0.017338332061177297,,,-0.003952621420828639,0.0
1971-06,-0.0009,-0.015300000000000001,-0.0197,0.0268,0.0037,0.29,0.04404145077720201,0.005058549222797998,0.049100000000000005,-0.0032026437109868855,0.01737451737451745,,,0.002268462025098783,0.0
1971-07,-0.0449,-0.0151,-0.0002,-0.0232,0.004,0.44333333333333336,0.04381443298969079,0.009285567010309206,0.053099999999999994,-0.0005719899868106282,0.01741066294257787,,,0.009737974915486447,0.0
1971-08,0.0379,-0.0022,0.0264,0.0344,0.004699999999999999,0.24333333333333332,0.04370179948586128,0.011998200514138718,0.0557,0.002143357927419709,0.01744680851063829,,,0.004344474437801171,0.0
1971-09,-0.0086,0.005,-0.028999999999999998,0.021,0.0037,0.07666666666666666,0.04358974358974366,0.011910256410256344,0.0555,-0.00045170718745835003,0.017504577420053957,,,0.00029722571639356765,0.0
1971-10,-0.044199999999999996,-0.0175,-0.0051,0.005,0.0037,0.28,0.04081632653061207,0.011183673469387936,0.052000000000000005,-0.00299810645907872,0.017562346329469625,,,0.0236090438537655,0.0
1971-11,-0.0046,-0.0277,-0.0167,0.0151,0.0037,0.47000000000000003,0.038071065989847774,0.01102893401015223,0.049100000000000005,-0.005630733496013507,0.017807607723084207,,,0.05232388509414165,0.0
1971-12,0.08710000000000001,0.0329,-0.0038,-0.0062,0.0037,0.7066666666666667,0.03535353535353525,0.006046464646464751,0.0414,-0.008236208236208409,0.01805286911669879,,,0.06322665247425352,0.0
1972-01,0.024700000000000003,0.0584,0.0212,0.0007000000000000001,0.0029,0.6533333333333333,0.03266331658291466,0.0024366834170853405,0.0351,-0.00815300994769741,0.01815177891096653,,,0.05135631629054527,0.0
1972-02,0.0287,0.0132,-0.028300000000000002,0.0253,0.0025,0.9900000000000001,0.03258145363408538,0.0004185463659146238,0.033,-0.005489612355762397,0.018250688705234275,,,0.0682762346541479,0.0
1972-03,0.0062,-0.0029,-0.0161,0.0294,0.0027,0.9033333333333333,0.03759398496240607,0.0007060150375939322,0.0383,0.0022404496088708203,0.01835966524526822,,,0.08111732975679731,0.0
